,MAX_SHARPE_NET,SPY
2002-02-28,1011794.3485280438,982063.8665079098
2002-03-31,1046861.3831980975,1014738.1609989576
2002-04-30,1091723.573981365,955725.4270157722
2002-05-31,1089114.0632133102,950054.2005448228
2002-06-30,1048198.936498048,879933.031892293
2002-07-31,948032.3157433954,810577.3868070457
2002-08-31,940052.7586453458,816090.0713563401
2002-09-30,931122.5136329249,730520.8897435019
2002-10-31,928244.0165782593,790631.0457102868
2002-11-30,920212.6874467006,839398.1249636782
2002-12-31,913946.7747789011,791913.4679231226
2003-01-31,904077.7730394764,772436.5148763782
2003-02-28,908424.6894407021,762024.9889098625
2003-03-31,949906.0667334851,763655.4236359701
2003-04-30,1010812.6525316649,828269.9375303242
2003-05-31,1078759.7020979747,873689.2871508164
2003-06-30,1094406.5888388187,882995.334085255
2003-07-31,1144704.689729813,898913.0469813253
2003-08-31,1131880.698581666,917453.9269378524
2003-09-30,1165363.622995932,907448.0083859838
2003-10-31,1266467.866195423,956020.990742503
2003-11-30,1288007.6301667865,966461.6780264116
2003-12-31,1352509.3231293252,1015087.4730361775
2004-01-31,1447053.6989257133,1035155.7614602156
2004-02-29,1480159.2669155747,1049203.5113760843
2004-03-31,1542591.8215494987,1035305.9864286032
2004-04-30,1377678.0754279029,1015716.5465889206
2004-05-31,1460162.7972075413,1033108.5434135079
2004-06-30,1505732.2741812414,1052222.773335889
2004-07-31,1434897.5568098908,1018321.7282379376
2004-08-31,1490539.551401554,1020802.2595498629
2004-09-30,1574847.6275944742,1031048.1222034888
2004-10-31,1621488.6574707134,1044333.1035428446
2004-11-30,1721590.1011831746,1090823.5208012713
2004-12-31,1906206.6784553288,1123680.4763784488
2005-01-31,1885097.229148,1098486.7615416173
2005-02-28,1956431.4163224827,1121449.8695122006
2005-03-31,1952106.8593038325,1100934.9606977168
2005-04-30,1980304.5137975817,1080308.6047094532
2005-05-31,2161780.0578908673,1115121.6037331468
2005-06-30,2337946.1872021104,1116810.8809036196
2005-07-31,2450920.3330594664,1159541.4115138021
2005-08-31,2413129.685581387,1148671.0496317297
2005-09-30,2481191.4043341246,1157889.7685568633
2005-10-31,2421970.0116454707,1130505.2642675505
2005-11-30,2621571.006880321,1180193.7579810256
2005-12-31,2633244.6766398284,1177934.8734736694
2006-01-31,2863869.7985922354,1206221.871154383
2006-02-28,2908778.0867192303,1213128.0612235873
2006-03-31,3096195.5084064635,1233149.6707474138
2006-04-30,3127611.28781797,1248726.0766737834
2006-05-31,2928789.742695644,1211114.2149518642
2006-06-30,2911440.5468316544,1214272.4739931459
2006-07-31,2879746.0421195705,1219710.4099249518
2006-08-31,2952196.781881428,1246327.3633896231
2006-09-30,3165769.7153755114,1279980.5632802134
2006-10-31,3296744.1603214242,1320321.2173690824
2006-11-30,3607992.840087745,1346576.0714808851
