date,assets
1999-02-28,
1999-03-31,
1999-04-30,
1999-05-31,
1999-06-30,
1999-07-31,
1999-08-31,
1999-09-30,
1999-10-31,
1999-11-30,
1999-12-31,
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,"ACN,ADBE,ADI,APA,CPT,ELV,GEN,GILD,GPN,KMX,MCHP,MDLZ,MET,PFG,QCOM,REGN,TPR,UDR,WTW,ZBH"
2002-03-31,"ACN,ADBE,ADI,APA,CPRT,CPT,ELV,GEN,GILD,GPN,MDLZ,MET,O,PFG,QCOM,REGN,TPR,UDR,WTW,ZBH"
2002-04-30,"ACN,ADI,ARE,COO,CPT,CTSH,ELV,ESS,GEN,GILD,GPN,LRCX,MDLZ,O,PFG,REG,REGN,TPR,UDR,WTW"
2002-05-31,"ARE,BLK,COO,CPT,CTSH,ELV,GEN,GPN,JKHY,KMX,MCHP,MDLZ,MET,O,PFG,REG,REGN,UDR,WTW,ZBH"
2002-06-30,"ARE,AZO,CPRT,CTSH,DHI,ELV,FICO,FIS,GEN,GILD,GPN,MAA,MDLZ,MET,O,PFG,PLD,REG,TTWO,WTW"
2002-07-31,"ARE,AXON,AZO,BIIB,CNC,COR,ELV,GEN,HOLX,KMX,LEN,MAA,MDLZ,NVDA,PFG,PLD,REG,TSCO,TTWO,ZBH"
2002-08-31,"AJG,ARE,BIIB,COR,DHI,DVA,ELV,FICO,KIM,KMX,LEN,MAA,O,PFG,PLD,PSA,TSCO,TTWO,UDR,ZBH"
2002-09-30,"ARE,COR,DHI,DVA,ELV,FICO,HSIC,KMX,MAA,MDLZ,O,PFG,PLD,TPR,TSCO,TTWO,UDR,UHS,WTW,ZBH"
